CGC#	Gene Type	Contig ID	Protein ID	Gene Start	Gene Stop	Gene Strand	Gene Annotation
CGC9	CAZyme	k141_101237	k141_101237_7	7141	8283	+	CAZyme|GH105_e32
CGC9	null	k141_101237	k141_101237_8	8299	9126	+	null
CGC9	CAZyme	k141_101237	k141_101237_9	9391	10365	+	CAZyme|CE8_e51
CGC9	null	k141_101237	k141_101237_10	10501	11298	+	null
CGC9	TC	k141_101237	k141_101237_11	11807	13069	-	TC|2.A.23.1.13
CGC9	TC	k141_101237	k141_101237_12	14254	16038	-	TC|4.C.1.1.4
CGC10	TC	k141_101353	k141_101353_2	244	1605	+	TC|2.A.2.3.2
CGC10	CAZyme	k141_101353	k141_101353_3	1625	2515	+	CAZyme|GH2_e100
CGC11	TC	k141_101377	k141_101377_5	5265	6224	+	TC|3.A.1.1.18
CGC11	TC	k141_101377	k141_101377_6	6239	7093	+	TC|3.A.1.1.18
CGC11	CAZyme	k141_101377	k141_101377_7	7139	8557	+	CAZyme|GH29_e30
CGC11	CAZyme	k141_101377	k141_101377_8	8591	10813	+	CAZyme|GH95_e3
CGC12	CAZyme	k141_101706	k141_101706_1	1	1242	-	CAZyme|GH2_e137
CGC12	CAZyme	k141_101706	k141_101706_2	1330	2406	-	CAZyme|GH53_e22
CGC12	null	k141_101706	k141_101706_3	2531	3919	-	null
CGC12	TC	k141_101706	k141_101706_4	3973	4383	-	TC|8.A.46.1.1
CGC13	CAZyme	k141_101832	k141_101832_1	2	1279	-	CAZyme|GH25_e95
CGC13	TC	k141_101832	k141_101832_2	1898	3034	-	TC|2.A.40.2.1
CGC14	TC	k141_102182	k141_102182_2	511	744	-	TC|4.D.1.1.3+CAZyme|GT2
CGC14	TC	k141_102182	k141_102182_3	753	1718	-	TC|9.B.18.1.3
CGC15	CAZyme	k141_1030	k141_1030_13	19197	20339	+	CAZyme|GH171_e0
CGC15	CAZyme	k141_1030	k141_1030_14	20869	22428	+	CAZyme|GH3_e28
CGC15	null	k141_1030	k141_1030_15	22425	23330	+	null
CGC15	null	k141_1030	k141_1030_16	23638	24135	+	null
CGC15	TC	k141_1030	k141_1030_17	24575	26326	-	TC|3.A.1.1.9
CGC15	STP	k141_1030	k141_1030_18	27183	28814	-	STP|HTH_18+STP|Response_reg+TF|HTH_AraC
CGC15	TC	k141_1030	k141_1030_19	28789	30609	-	TC|9.B.33.1.7
CGC15	CAZyme	k141_1030	k141_1030_20	30838	33945	+	CAZyme|GH38_e18
CGC15	CAZyme	k141_1030	k141_1030_21	34130	36502	+	CAZyme|GH3_e96
CGC16	CAZyme	k141_103504	k141_103504_3	1737	2840	-	CAZyme|CE9_e44
CGC16	null	k141_103504	k141_103504_4	2883	3626	-	null
CGC16	null	k141_103504	k141_103504_5	3645	4484	-	null
CGC16	TC	k141_103504	k141_103504_6	4540	5379	-	TC|3.A.1.1.45
CGC16	TC	k141_103504	k141_103504_7	5379	6260	-	TC|3.A.1.1.45
CGC16	STP	k141_103504	k141_103504_8	6406	7650	-	STP|SBP_bac_1
CGC16	CAZyme	k141_103504	k141_103504_9	7714	8751	-	CAZyme|GH109_e7
CGC17	TC	k141_103738	k141_103738_1	37	270	+	TC|1.E.18.1.3
CGC17	null	k141_103738	k141_103738_2	288	869	+	null
CGC17	CAZyme	k141_103738	k141_103738_3	872	1933	+	CAZyme|GH25_e81|CBM50_e758
CGC18	TC	k141_104006	k141_104006_2	411	1157	+	TC|9.B.158.1.1
CGC18	TC	k141_104006	k141_104006_3	1178	2437	+	TC|8.A.144.2.1
CGC18	null	k141_104006	k141_104006_4	2453	3382	+	null
CGC18	CAZyme	k141_104006	k141_104006_5	3481	4206	+	CAZyme|GT2
CGC19	TC	k141_104149	k141_104149_6	6543	8273	+	TC|9.B.33.1.7
CGC19	STP	k141_104149	k141_104149_7	8413	9714	+	STP|SBP_bac_1
CGC19	TC	k141_104149	k141_104149_8	9806	10708	+	TC|3.A.1.1.28
CGC19	TC	k141_104149	k141_104149_9	10705	11568	+	TC|3.A.1.1.42
CGC19	STP	k141_104149	k141_104149_10	11595	12491	+	STP|PIG-L
CGC19	CAZyme	k141_104149	k141_104149_11	12516	14858	+	CAZyme|GH65_e2
CGC20	TC	k141_104149	k141_104149_44	48936	49811	+	TC|3.A.5.1.1
CGC20	null	k141_104149	k141_104149_45	49854	50459	-	null
CGC20	CAZyme	k141_104149	k141_104149_46	50472	51590	-	CAZyme|GT28_e59
CGC21	TC	k141_104582	k141_104582_42	50377	52293	-	TC|3.A.3.6.10
CGC21	STP	k141_104582	k141_104582_43	52349	52567	-	STP|HMA
CGC21	TF	k141_104582	k141_104582_44	52587	52946	-	TF|0043095
CGC21	TC	k141_104582	k141_104582_45	53047	54393	-	TC|2.A.66.1.32
CGC21	null	k141_104582	k141_104582_46	54390	55100	-	null
CGC21	CAZyme	k141_104582	k141_104582_47	55323	56846	-	CAZyme|GH77_e1
CGC21	TF	k141_104582	k141_104582_48	56881	57891	-	TF|LacI+TC|3.A.1.2.1+STP|Peripla_BP_3
CGC21	TC	k141_104582	k141_104582_49	57988	58860	-	TC|3.A.1.1.45
CGC21	TC	k141_104582	k141_104582_50	58860	59702	-	TC|3.A.1.1.45
CGC21	TC	k141_104582	k141_104582_51	59790	61205	-	TC|3.A.1.1.45
CGC21	TC	k141_104582	k141_104582_52	61641	62900	+	TC|2.A.49.9.5
CGC22	STP	k141_104636	k141_104636_8	7954	8664	-	STP|Response_reg+TF|LytTR+STP|LytTR+TC|2.A.130.1.1
CGC22	CAZyme	k141_104636	k141_104636_9	8857	11757	+	CAZyme|GH3_e130
CGC23	TC	k141_104661	k141_104661_4	1831	4449	+	TC|3.A.3.23.2
CGC23	CAZyme	k141_104661	k141_104661_5	4525	6252	-	CAZyme|GH13_4
CGC24	TC	k141_104788	k141_104788_1	3	287	-	TC|4.A.3.2.4
CGC24	TC	k141_104788	k141_104788_2	310	612	-	TC|4.A.3.2.11
CGC24	CAZyme	k141_104788	k141_104788_3	654	2093	-	CAZyme|GH1_e115+TC|8.A.49.1.1
CGC25	TC	k141_104967	k141_104967_9	6579	8726	+	TC|3.A.1.155.1
CGC25	null	k141_104967	k141_104967_10	8851	10374	+	null
CGC25	null	k141_104967	k141_104967_11	10444	10905	+	null
CGC25	TC	k141_104967	k141_104967_12	10926	11879	+	TC|8.A.21.2.10
CGC25	CAZyme	k141_104967	k141_104967_13	12443	14071	+	CAZyme|GH13_9
CGC25	null	k141_104967	k141_104967_14	14093	15244	+	null
CGC25	null	k141_104967	k141_104967_15	15260	16390	+	null
CGC25	CAZyme	k141_104967	k141_104967_16	16409	17848	+	CAZyme|GT5_e9
CGC25	CAZyme	k141_104967	k141_104967_17	17862	20318	+	CAZyme|GT35_e0
CGC25	CAZyme	k141_104967	k141_104967_18	20290	22188	+	CAZyme|CBM34_e3|GH13_39
CGC25	TC	k141_104967	k141_104967_19	22233	22649	-	TC|3.A.7.19.1
CGC25	STP	k141_104967	k141_104967_20	22832	24703	+	STP|HATPase_c
CGC25	null	k141_104967	k141_104967_21	24739	25173	-	null
CGC25	TC	k141_104967	k141_104967_22	25290	26147	+	TC|3.A.1.132.3
CGC26	CAZyme	k141_105151	k141_105151_2	383	1345	+	CAZyme|CE4_e347
CGC26	TC	k141_105151	k141_105151_3	1380	1826	-	TC|9.B.402.1.3
CGC27	CAZyme	k141_105268	k141_105268_5	6230	7015	+	CAZyme|GT8_e194
CGC27	TC	k141_105268	k141_105268_6	7012	8370	+	TC|2.A.22.5.3
CGC27	null	k141_105268	k141_105268_7	8382	9323	+	null
CGC27	TC	k141_105268	k141_105268_8	9382	10695	+	TC|2.A.66.1.33
CGC28	TC	k141_105276	k141_105276_16	13309	14163	+	TC|9.B.2.1.28
CGC28	null	k141_105276	k141_105276_17	14150	14617	-	null
CGC28	STP	k141_105276	k141_105276_18	14611	15669	-	STP|Aminotran_1_2
CGC28	TC	k141_105276	k141_105276_19	15917	17284	+	TC|2.A.66.1.33
CGC28	null	k141_105276	k141_105276_20	17588	19123	-	null
CGC28	null	k141_105276	k141_105276_21	19191	20360	-	null
CGC28	CAZyme	k141_105276	k141_105276_22	20523	21509	-	CAZyme|GH53_e1
CGC29	TC	k141_105673	k141_105673_7	5361	6101	-	TC|1.A.115.1.2
CGC29	null	k141_105673	k141_105673_8	6088	7014	-	null
CGC29	null	k141_105673	k141_105673_9	7047	7952	-	null
CGC29	TC	k141_105673	k141_105673_10	7954	8187	-	TC|3.D.1.6.4
CGC29	TC	k141_105673	k141_105673_11	8486	10990	-	TC|8.A.229.1.2+CAZyme|GT51_e55
CGC29	TF	k141_105673	k141_105673_12	11148	11693	-	TF|SpoVT_AbrB
CGC29	CAZyme	k141_105673	k141_105673_13	11779	15147	-	CAZyme|GH53_e16
CGC29	TC	k141_105673	k141_105673_14	15425	16846	-	TC|2.A.25.1.4
CGC29	TC	k141_105673	k141_105673_15	17252	18202	-	TC|1.A.35.3.3
CGC29	null	k141_105673	k141_105673_16	18189	19043	-	null
CGC29	STP	k141_105673	k141_105673_17	19118	19834	-	STP|ACT
CGC29	CAZyme	k141_105673	k141_105673_18	19933	21912	-	CAZyme|GH13_1|CBM20_e15
CGC29	CAZyme	k141_105673	k141_105673_19	21950	23680	-	CAZyme|CBM34_e13|GH13_20
CGC29	TC	k141_105673	k141_105673_20	23692	24537	-	TC|3.A.1.1.51
CGC29	TC	k141_105673	k141_105673_21	24538	25425	-	TC|3.A.1.1.51
CGC30	TC	k141_105698	k141_105698_1	3	464	+	TC|9.A.8.1.9
CGC30	CAZyme	k141_105698	k141_105698_2	494	1585	-	CAZyme|GT119+TC|2.A.103.1.3
CGC31	TC	k141_105786	k141_105786_3	737	1321	+	TC|2.A.128.1.4
CGC31	CAZyme	k141_105786	k141_105786_4	1303	2259	+	CAZyme|GT2+TC|4.D.1.1.14
CGC32	TC	k141_105810	k141_105810_11	10947	11828	+	TC|8.A.9.1.2+CAZyme|GH13_31
CGC32	null	k141_105810	k141_105810_12	11842	13773	-	null
CGC32	STP	k141_105810	k141_105810_13	13810	14634	-	STP|LysR_substrate+TF|HTH_1
CGC32	TC	k141_105810	k141_105810_14	14760	15599	+	TC|8.A.5.1.4
CGC32	null	k141_105810	k141_105810_15	15665	16648	-	null
CGC32	TC	k141_105810	k141_105810_16	17038	18837	+	TC|3.A.1.135.11
CGC32	TC	k141_105810	k141_105810_17	18841	20589	+	TC|3.A.1.135.11
CGC32	null	k141_105810	k141_105810_18	20586	20798	+	null
CGC32	null	k141_105810	k141_105810_19	21036	21812	+	null
CGC32	TC	k141_105810	k141_105810_20	21936	23252	-	TC|2.A.24.3.1
CGC33	TC	k141_106159	k141_106159_7	5665	6405	-	TC|1.A.115.1.2
CGC33	null	k141_106159	k141_106159_8	6392	7318	-	null
CGC33	null	k141_106159	k141_106159_9	7412	8320	-	null
CGC33	TC	k141_106159	k141_106159_10	8326	8559	-	TC|3.D.1.6.4
CGC33	TC	k141_106159	k141_106159_11	9073	9750	-	TC|2.A.88.3.2
CGC33	CAZyme	k141_106159	k141_106159_12	9866	12256	-	CAZyme|GT51_e55
CGC34	TC	k141_106414	k141_106414_3	1366	2040	-	TC|2.A.78.1.1
CGC34	null	k141_106414	k141_106414_4	2030	2854	-	null
CGC34	null	k141_106414	k141_106414_5	2841	3974	-	null
CGC34	CAZyme	k141_106414	k141_106414_6	4052	5524	-	CAZyme|GH1_e85
CGC35	TC	k141_106562	k141_106562_22	24983	25819	+	TC|3.A.1.149.2
CGC35	null	k141_106562	k141_106562_23	25824	26444	+	null
CGC35	CAZyme	k141_106562	k141_106562_24	27322	28566	-	CAZyme|GT2+TC|4.D.1.1.1
CGC35	TC	k141_106562	k141_106562_25	28600	30264	-	TC|9.B.238.3.3
CGC35	TC	k141_106562	k141_106562_26	30264	30956	-	TC|3.E.1.5.3+STP|Response_reg+STP|Trans_reg_C+TF|Trans_reg_C
CGC35	null	k141_106562	k141_106562_27	31139	31840	+	null
CGC35	TC	k141_106562	k141_106562_28	32379	33116	+	TC|3.A.1.24.2
CGC35	TC	k141_106562	k141_106562_29	33121	33789	+	TC|3.A.1.24.5
CGC35	TC	k141_106562	k141_106562_30	33887	34711	+	TC|3.A.1.24.5
CGC35	TC	k141_106562	k141_106562_31	34860	36065	-	TC|1.C.126.1.4
CGC36	TC	k141_106562	k141_106562_43	45150	45980	-	TC|3.A.1.132.3
CGC36	null	k141_106562	k141_106562_44	46089	46517	-	null
CGC36	CAZyme	k141_106562	k141_106562_45	46625	48322	+	CAZyme|GT2
CGC36	STP	k141_106562	k141_106562_46	48702	51530	-	STP|HMA+TC|3.A.3.5.15
CGC37	TC	k141_106602	k141_106602_1	3	503	+	TC|9.B.221.1.12
CGC37	null	k141_106602	k141_106602_2	521	1342	-	null
CGC37	CAZyme	k141_106602	k141_106602_3	1360	1779	-	CAZyme|GH73_e33
CGC38	CAZyme	k141_106640	k141_106640_2	951	2408	-	CAZyme|GT5_e9
CGC38	null	k141_106640	k141_106640_3	2551	3279	-	null
CGC38	TC	k141_106640	k141_106640_4	3373	4293	-	TC|1.C.126.1.3
CGC39	CAZyme	k141_106640	k141_106640_22	22279	23748	-	CAZyme|GH32_e71
CGC39	TC	k141_106640	k141_106640_23	23765	25435	-	TC|3.A.1.1.59
CGC39	TC	k141_106640	k141_106640_24	25455	26351	-	TC|3.A.1.1.59
CGC39	TC	k141_106640	k141_106640_25	26364	27302	-	TC|3.A.1.1.59
CGC39	STP	k141_106640	k141_106640_26	27559	28584	+	STP|Peripla_BP_3+STP|Peripla_BP_1+TF|0036955
CGC39	TC	k141_106640	k141_106640_27	28618	29388	-	TC|9.B.268.1.3
CGC40	TC	k141_106751	k141_106751_7	6966	7667	-	TC|4.D.1.1.15+CAZyme|GT2
CGC40	TC	k141_106751	k141_106751_8	7718	8659	-	TC|9.B.18.2.4
CGC40	CAZyme	k141_106751	k141_106751_9	8884	9837	-	CAZyme|GT2
CGC40	TC	k141_106751	k141_106751_10	9821	11023	-	TC|2.A.86.1.16
CGC41	TC	k141_106766	k141_106766_2	906	2705	+	TC|9.B.33.1.4+STP|dCache_1+STP|HATPase_c
CGC41	STP	k141_106766	k141_106766_3	2708	4306	+	STP|Response_reg+STP|HTH_18+TF|0035607+TF|HTH_AraC
CGC41	CAZyme	k141_106766	k141_106766_4	4313	6160	+	CAZyme|PL33_1
CGC42	CAZyme	k141_107138	k141_107138_8	9056	10183	-	CAZyme|GT4_e3590
CGC42	null	k141_107138	k141_107138_9	10185	11270	-	null
CGC42	TC	k141_107138	k141_107138_10	11283	12020	-	TC|3.A.1.103.5
CGC42	TC	k141_107138	k141_107138_11	12074	12850	-	TC|3.A.1.103.1
CGC43	TC	k141_107349	k141_107349_2	315	1232	+	TC|3.A.1.1.57
CGC43	TC	k141_107349	k141_107349_3	1250	2113	+	TC|3.A.1.1.57
CGC43	CAZyme	k141_107349	k141_107349_4	2325	3491	+	CAZyme|GH88_e26
CGC43	CAZyme	k141_107349	k141_107349_5	3491	5203	+	CAZyme|GH154_e14
CGC43	CAZyme	k141_107349	k141_107349_6	5238	6983	+	CAZyme|GH2_e29
CGC44	CAZyme	k141_107775	k141_107775_4	1479	2606	-	CAZyme|CE9_e50
CGC44	null	k141_107775	k141_107775_5	2761	3489	-	null
CGC44	TC	k141_107775	k141_107775_6	3675	5147	-	TC|4.A.1.1.7
CGC45	TC	k141_107852	k141_107852_3	1888	3570	+	TC|4.A.1.1.11
CGC45	null	k141_107852	k141_107852_4	3578	4402	+	null
CGC45	CAZyme	k141_107852	k141_107852_5	4420	5922	+	CAZyme|GH77_e1
CGC45	null	k141_107852	k141_107852_6	6030	6548	-	null
CGC45	TC	k141_107852	k141_107852_7	6667	7716	-	TC|3.A.1.10.3
CGC45	TC	k141_107852	k141_107852_8	7713	8384	-	TC|3.A.1.8.2
CGC45	null	k141_107852	k141_107852_9	8394	8495	-	null
CGC45	CAZyme	k141_107852	k141_107852_10	8904	11165	-	CAZyme|GT35_e0
CGC45	TF	k141_107852	k141_107852_11	11296	12153	+	TF|0036286+STP|AraC_binding+STP|HTH_18+TF|HTH_AraC
CGC45	STP	k141_107852	k141_107852_12	12330	13181	-	STP|SBP_bac_1
CGC45	TC	k141_107852	k141_107852_13	13384	13599	-	TC|8.A.176.1.1
CGC46	TC	k141_108372	k141_108372_61	61260	62546	-	TC|2.A.40.1.1
CGC46	STP	k141_108372	k141_108372_62	62642	63268	-	STP|Pribosyltran
CGC46	TC	k141_108372	k141_108372_63	63486	64919	-	TC|8.A.49.1.1+CAZyme|GH1_e0
CGC47	CAZyme	k141_108730	k141_108730_2	599	2023	-	CAZyme|GH32_e76
CGC47	TC	k141_108730	k141_108730_3	2036	2776	-	TC|4.A.1.2.1
CGC48	CAZyme	k141_108783	k141_108783_1	1	1257	-	CAZyme|GH43_11|CBM91_e3
CGC48	CAZyme	k141_108783	k141_108783_2	1370	2536	-	CAZyme|GH5_44
CGC48	TC	k141_108783	k141_108783_3	2614	3984	-	TC|2.A.2.3.3
CGC49	TC	k141_108992	k141_108992_1	2	1225	+	TC|3.A.1.1.4
CGC49	TC	k141_108992	k141_108992_2	1352	2233	+	TC|3.A.1.1.4
CGC49	TC	k141_108992	k141_108992_3	2226	3032	+	TC|3.A.1.1.4
CGC49	null	k141_108992	k141_108992_4	3032	3493	+	null
CGC49	CAZyme	k141_108992	k141_108992_5	3453	4748	+	CAZyme|GH136_e6
CGC50	TC	k141_109025	k141_109025_1	107	2065	+	TC|3.A.18.1.1
CGC50	CAZyme	k141_109025	k141_109025_2	2275	4911	+	CAZyme|GH2_e145
CGC51	TC	k141_109358	k141_109358_1	3	149	-	TC|4.A.1.1.1
CGC51	TC	k141_109358	k141_109358_2	218	697	-	TC|4.A.1.2.11
CGC51	CAZyme	k141_109358	k141_109358_3	691	1896	-	CAZyme|CE9_e44
CGC52	CAZyme	k141_109462	k141_109462_40	35346	37757	+	CAZyme|GH3_e197
CGC52	null	k141_109462	k141_109462_41	37819	38001	+	null
CGC52	null	k141_109462	k141_109462_42	38170	38853	+	null
CGC52	TC	k141_109462	k141_109462_43	39223	40221	+	TC|2.A.33.1.1
CGC53	CAZyme	k141_109641	k141_109641_1	3	272	-	CAZyme|GH4_e4
CGC53	TC	k141_109641	k141_109641_2	326	1699	-	TC|4.A.1.1.16
CGC54	CAZyme	k141_109788	k141_109788_2	1711	3372	+	CAZyme|GH13_31+TC|8.A.9.1.1
CGC54	TC	k141_109788	k141_109788_3	3444	5105	+	TC|4.A.1.1.17
CGC54	null	k141_109788	k141_109788_4	5110	5898	+	null
CGC54	TC	k141_109788	k141_109788_5	6107	6700	-	TC|2.A.87.2.3
CGC55	CAZyme	k141_109931	k141_109931_1	106	885	+	CAZyme|GT2
CGC55	TC	k141_109931	k141_109931_2	989	1588	+	TC|2.A.66.1.40
CGC56	CAZyme	k141_110295	k141_110295_1	1	3441	+	CAZyme|GT2
CGC56	TC	k141_110295	k141_110295_2	3452	4723	+	TC|2.A.1.25.6
CGC56	null	k141_110295	k141_110295_3	4741	6084	+	null
CGC56	TC	k141_110295	k141_110295_4	6244	7563	+	TC|2.A.6.2.27
CGC56	TC	k141_110295	k141_110295_5	7755	8939	+	TC|2.A.6.2.16
CGC56	TC	k141_110295	k141_110295_6	8951	9703	+	TC|3.A.1.122.2
CGC56	TC	k141_110295	k141_110295_7	9747	10988	+	TC|3.A.1.122.18
CGC57	CAZyme	k141_110613	k141_110613_3	1307	2359	-	CAZyme|GH170_e27
CGC57	TC	k141_110613	k141_110613_4	2479	3909	-	TC|4.A.1.2.17
CGC58	TC	k141_110720	k141_110720_1	2	634	+	TC|3.A.9.1.1
CGC58	null	k141_110720	k141_110720_2	801	2339	+	null
CGC58	CAZyme	k141_110720	k141_110720_3	2366	3298	+	CAZyme|GT2+TC|4.D.1.1.14
CGC59	TC	k141_110958	k141_110958_1	3	779	-	TC|2.A.7.3.58
CGC59	CAZyme	k141_110958	k141_110958_2	776	1819	-	CAZyme|GT9_e84
CGC60	CAZyme	k141_111077	k141_111077_2	615	3296	-	CAZyme|GH51_2
CGC60	null	k141_111077	k141_111077_3	3480	4358	-	null
CGC60	TC	k141_111077	k141_111077_4	4423	5775	-	TC|3.A.5.1.1
CGC61	TC	k141_111256	k141_111256_2	609	1943	-	TC|2.A.1.25.6
CGC61	CAZyme	k141_111256	k141_111256_3	1953	4781	-	CAZyme|GT2
CGC62	TC	k141_111767	k141_111767_2	191	1615	-	TC|4.A.1.2.8
CGC62	CAZyme	k141_111767	k141_111767_3	1655	3838	-	CAZyme|GH36_e0
CGC62	STP	k141_111767	k141_111767_4	4072	4983	+	STP|HTH_18+TF|0035607
CGC62	CAZyme	k141_111767	k141_111767_5	4892	6205	-	CAZyme|GH13_31
CGC63	TC	k141_112107	k141_112107_2	680	1447	-	TC|9.B.18.1.6
CGC63	CAZyme	k141_112107	k141_112107_3	1688	2905	-	CAZyme|GT119+TC|2.A.103.1.7
CGC64	TC	k141_112800	k141_112800_1	2	985	+	TC|3.A.1.135.10
CGC64	CAZyme	k141_112800	k141_112800_2	1283	1843	+	CAZyme|CBM13_e97
CGC65	TC	k141_113071	k141_113071_5	1083	1535	+	TC|1.E.26.4.1
CGC65	CAZyme	k141_113071	k141_113071_6	1537	2394	+	CAZyme|GH25_e43
CGC66	CAZyme	k141_113494	k141_113494_2	484	2754	+	CAZyme|GH3_e197
CGC66	TC	k141_113494	k141_113494_3	3014	4213	-	TC|2.A.36.2.1
CGC67	CAZyme	k141_113693	k141_113693_1	99	890	-	CAZyme|GT2
CGC67	TC	k141_113693	k141_113693_2	972	2180	-	TC|4.D.1.3.4+CAZyme|GT2
CGC68	CAZyme	k141_114225	k141_114225_1	3	1397	-	CAZyme|GH20_e112
CGC68	TC	k141_114225	k141_114225_2	1553	2395	-	TC|8.A.46.1.4
CGC69	TC	k141_114282	k141_114282_12	9144	9623	+	TC|2.A.88.9.2
CGC69	TC	k141_114282	k141_114282_13	9663	9890	-	TC|3.D.1.6.3
CGC69	null	k141_114282	k141_114282_14	10012	10506	+	null
CGC69	CAZyme	k141_114282	k141_114282_15	10515	11522	-	CAZyme|GH25_e95
CGC69	TC	k141_114282	k141_114282_16	11638	12792	+	TC|3.A.7.14.2
CGC70	TC	k141_114419	k141_114419_10	7341	8807	+	TC|1.C.105.2.8
CGC70	CAZyme	k141_114419	k141_114419_11	8903	11056	+	CAZyme|GT51_e21
CGC71	TC	k141_114588	k141_114588_1	3	830	+	TC|9.B.304.1.8
CGC71	STP	k141_114588	k141_114588_2	835	2076	+	STP|HTH_18+STP|Response_reg+TF|HTH_AraC
CGC71	CAZyme	k141_114588	k141_114588_3	2092	3663	+	CAZyme|GH43_11|CBM91_e24
CGC72	TC	k141_114852	k141_114852_1	2	1063	+	TC|9.B.142.5.5+CAZyme|GT39_e29
CGC72	TC	k141_114852	k141_114852_2	1110	1892	+	TC|2.A.5.5.10
CGC72	null	k141_114852	k141_114852_3	1902	2195	+	null
CGC72	TC	k141_114852	k141_114852_4	2247	3734	+	TC|3.A.1.15.3
CGC72	TC	k141_114852	k141_114852_5	3737	4348	+	TC|3.A.1.14.11
CGC73	CAZyme	k141_115130	k141_115130_2	541	1242	-	CAZyme|GT26_e123
CGC73	TC	k141_115130	k141_115130_3	1317	2003	-	TC|9.B.18.1.6
CGC74	CAZyme	k141_115292	k141_115292_20	16494	17786	-	CAZyme|GH73_e254+TC|3.A.7.14.1
CGC74	TC	k141_115292	k141_115292_21	17827	18279	-	TC|3.A.7.19.1
CGC74	null	k141_115292	k141_115292_22	18269	19732	-	null
CGC74	TC	k141_115292	k141_115292_23	19763	21727	-	TC|3.A.7.7.1
CGC74	null	k141_115292	k141_115292_24	21784	22467	-	null
CGC74	null	k141_115292	k141_115292_25	22457	22801	-	null
CGC74	TC	k141_115292	k141_115292_26	23065	23400	-	TC|3.A.7.14.1
CGC74	null	k141_115292	k141_115292_27	23405	23980	-	null
CGC74	null	k141_115292	k141_115292_28	23999	24280	-	null
CGC74	TC	k141_115292	k141_115292_29	24354	26375	-	TC|3.A.7.14.1
CGC75	TC	k141_115455	k141_115455_1	1	552	+	TC|3.A.1.1.61
CGC75	CAZyme	k141_115455	k141_115455_2	639	1283	+	CAZyme|GH88_e26
CGC76	CAZyme	k141_11555	k141_11555_4	2182	3033	+	CAZyme|CE4_e53
CGC76	null	k141_11555	k141_11555_5	3160	3306	+	null
CGC76	TC	k141_11555	k141_11555_6	3551	3916	+	TC|2.A.6.3.15
CGC77	CAZyme	k141_115917	k141_115917_2	99	1310	-	CAZyme|GT119+TC|2.A.103.1.3
CGC77	null	k141_115917	k141_115917_3	1332	3545	-	null
CGC77	TC	k141_115917	k141_115917_4	3734	5113	-	TC|2.A.23.1.4
